Gemeindenamen;Kanton;Jahr;Art der Entstehung
Brig-Glis;VS;1972;Vereinigung von Brig, Glis und Brigerbad
Croglio;TI;1976;Fusione di Biogno-Beride e Croglio-Castelrotto
Gurmels;FR;1978;Vereinigung von Grossgurmels und Monterschu
Guschelmuth;FR;1978;Vereinigung von Grossguschelmuth und Kleinguschelmuth
Riom-Parsonz;GR;1979;Vereinigung von Parsonz und Riom
St. Antönien;GR;1979;Vereinigung von St. Antönien Castels und St. Antönien Rüti
Oberhünigen;BE;1980;von Schlosswil abgetrennt
Lossy-Formangueires;FR;1982;Fusion de Lossy et Formangueires
Arni (AG);AG;1983;Arni-Islisberg in Arni (AG) und Islisberg aufgeteilt 
Felben-Wellhausen;TG;1983;Vereinigung von Felben und Wellhausen
Islisberg;AG;1983;Arni-Islisberg in Arni (AG) und Islisberg aufgeteilt
Ittigen;BE;1983;von Bolligen abgetrennt
Ostermundigen;BE;1983;von Bolligen abgetrennt
Allmendingen;BE;1993;von Rubigen abgetrennt
Heinrichswil-Winistorf;SO;1993;Vereinigung von Heinrichswil und Winistorf
Lohn-Ammannsegg;SO;1993;Vereinigung von Lohn (SO) und Ammannsegg
Trimstein;BE;1993;von Rubigen abgetrennt
Münsterlingen;TG;1994;Vereinigung von Landschlacht und Scherzingen
Amlikon-Bissegg;TG;1995;Vereinigung von Amlikon, Bissegg, Griesenberg und Strohwilen
Lüterswil-Gächliwil;SO;1995;Vereinigung von Gächliwil und Lüterswil
Onsernone;TI;1995;Fusione di Comologno, Crana e Russo
Uesslingen-Buch;TG;1995;Vereinigung von Buch bei Frauenfeld und Uesslingen
Warth-Weiningen;TG;1995;Vereinigung von Warth und Weiningen (TG)
Bichelsee-Balterswil;TG;1996;Vereinigung von Balterswil und Bichelsee
Farvagny;FR;1996;Fusion de Farvagny-le-Grand, Farvagny-le-Petit, Grenilles et Posat
Hauptwil-Gottshaus;TG;1996;Vereinigung von Gottshaus und Hauptwil
Kemmental;TG;1996;Vereinigung von Alterswilen, Altishausen, Dotnacht, Ellighausen, Hugelshofen, Lippoldswilen, Neuwilen und Siegershausen 
Kradolf-Schönenberg;TG;1996;Vereinigung von Buhwil, Kradolf, Neukirch an der Thur und Schönenberg an der Thur 
Neunforn;TG;1996;Vereinigung von Niederneunforn, Oberneunforn und Wilen bei Neunforn
Misery-Courtion;FR;1997;Fusion de Cormérod, Cournillens, Courtion et Misery
Zihlschlacht-Sitterdorf;TG;1997;Vereinigung von Sitterdorf und Zihlschlacht
Billens-Hennens;FR;1998;Fusion de Billens et Hennens
Lengwil;TG;1998;Vereinigung von Illighausen und Oberhofen bei Kreuzlingen
Tinizong-Rona;GR;1998;Vereinigung von Rona und Tinizong
Basadingen-Schlattingen;TG;1999;Vereinigung von Basadingen und Schlattingen
Corpataux-Magnedens;FR;1999;Fusion de Corpataux et Magnedens
Lussery-Villars;VD;1999;Fusion de Lussery et Villars-Lussery
Schlatt (TG);TG;1999;Vereinigung von Mett-Oberschlatt und Unterschlatt
Tobel-Tägerschen;TG;1999;Vereinigung von Tägerschen und Tobel 
Grafschaft;VS;2000;Vereinigung von Biel (VS), Ritzingen und Selkingen
Guttet-Feschel;VS;2000;Vereinigung von Feschel und Guttet
Montagny (FR);FR;2000;Fusion de Montagny-les-Monts et Montagny-la-Ville
Avry;FR;2001;Fusion d’Avry-sur-Matran et Corjolens
Capriasca;TI;2001;Fusione di Cagiallo, Lopagno, Roveredo-Capriasca, Sala Capriasca, Tesserete e Vaglio
Hauterive (FR);FR;2001;Fusion de Posieux et Ecuvillens
Isorno;TI;2001;Fusione di Auressio, Berzona e Loco
La Brillaz;FR;2001;Fusion de Lentigny, Lovens et Onnens (FR)
Sâles;FR;2001;Fusion de Maules, Romanens, Rueyres-Treyfayes et Sâles (Gruyère)
Villorsonnens;FR;2001;Fusion de Chavannes-sous-Orsonnens, Orsonnens, Villargiroud et Villarsiviriaux
Haut-Intyamon;FR;2002;Fusion de Lessoc, Albeuve, Montbovon et Neirivue
Suraua;GR;2002;Vereinigung von Camuns, Surcasti, Tersnaus und Uors-Peiden
Le Glèbe;FR;2003;Fusion d’Estavayer-le-Gibloux, Rueyres-Saint-Laurent, Villarlod et Villarsel-le-Gibloux
Le Mouret;FR;2003;Fusion de Bonnefontaine, Essert (FR), Montévraz, Oberried (FR), Praroman et Zénauva
Pont-en-Ogoz;FR;2003;Fusion d’Avry-devant-Pont, Gumefens et Le Bry
Riederalp;VS;2003;Vereinigung von Goppisberg, Greich und Ried-Mörel
Acquarossa;TI;2004;Fusione di Castro, Corzoneso, Dongio, Largario, Leontica, Lottigna, Marolta, Ponto Valentino e Prugiasco
Bas-Intyamon;FR;2004;Fusion d’Enney, Estavannens et Villars-sous-Mont
Collina d’Oro;TI;2004;Fusione di Agra, Gentilino e Montagnola
La Sonnaz;FR;2004;Fusion de La Corbaz, Cormagens et Lossy-Formangueires
La Verrerie;FR;2004;Fusion de Grattavache, Le Crêt et Progens
Lavizzara;TI;2004;Fusione di Broglio, Brontallo, Fusio, Menzonio, Peccia e Prato-Sornico
Le Flon;FR;2004;Fusion de Bouloz, Pont (Veveyse) et Porsel
Les Montets;FR;2004;Fusion d’Aumont, Frasses, Granges-de-Vesin et Montet (Broye)
Münster-Geschinen;VS;2004;Vereinigung von Geschinen und Münster (VS)
Reckingen-Gluringen;VS;2004;Vereinigung von Gluringen und Reckingen (VS)
Torny;FR;2004;Fusion de Middes et Torny-le-Grand
Wald (BE);BE;2004;Vereinigung von Englisberg und Zimmerwald
Wichtrach;BE;2004;Vereinigung von Niederwichtrach und Oberwichtrach
Alto Malcantone;TI;2005;Fusione di Arosio, Breno, Fescoggia, Mugena e Vezio
Delley-Portalban;FR;2005;Fusion de Delley et de Portalban
La Folliaz;FR ;2005;Fusion de Lussy et Villarimboud
Nesslau-Krummenau;SG;2005;Vereinigung von Krummenau und Nesslau
Blenio;TI;2006;Fusione di Aquila, Campo (Blenio), Ghirone, Olivone e Torre
Ehrendingen;AG;2006;Vereinigung von Oberehrendingen und Unterehrendingen 
Erlinsbach (SO);SO;2006;Vereinigung von Niedererlinsbach und Obererlinsbach
Vernay;FR;2006;Fusion d’Autavaux, Forel (FR) et Montbrelloz
Willisau;LU;2006;Vereinigung von Willisau Land und Willisau Stadt
Forst-Längenbühl;BE;2007;Vereinigung von Forst und Längenbühl
Rapperswil-Jona;SG;2007;Vereinigung von Jona und Rapperswil (SG)
Avegno Gordevio;TI;2008;Fusione di Avegno e Gordevio
Cugnasco-Gerra;TI;2008;Fusione di Cugnasco e Gerra (Verzasca)
Ferrera;GR;2008;Vereinigung von Ausserferrera und Innerferrera
St. Peter-Pagig;GR;2008;Vereinigung von Pagig und St. Peter
Anniviers;VS;2009;Fusion d’Ayer, Chandolin, Grimentz, Saint-Jean, Saint-Luc et Vissoie
Basse-Allaine;JU;2009;Fusion de Buix, Courtemaîche et Montignez 
Breggia;TI;2009;Fusione di Bruzella, Cabbio, Caneggio, Morbio Superiore, Muggio e Sagno
Centovalli;TI;2009;Fusione di Borgnone, Intragna e Palagnedra
Clos du Doubs;JU;2009;Fusion d’Epauvillers, Epiquerez, Montenol, Montmelon, Ocourt, Saint-Ursanne et Seleute
Gampel-Bratsch ;VS;2009;Vereinigung von Bratsch und Gampel
Haute-Ajoie;JU;2009;Fusion de Chevenez, Damvant, Réclère et Roche-d’Or
La Baroche;JU;2009;Fusion d’Asuel, Charmoille, Fregiécourt, Miécourt et Pleujouse
